loteamento;tempo;area_ha;imagens;altura_m;velocidade_ms;sobreposicao_frontal_pct;sobreposicao_lateral_pct;resolucao_cm_px;tempo_minutos
Aeroporto;06:16;5;81;80;8;75;65;2.4;6.27
Arizona;07:33;11;108;80;9;75;65;3.4;7.55
Boa Vista;05:29;6;77;80;8;75;65;2.4;5.48
Campos do Alto;08:47;11;145;80;8;75;65;2.4;8.78
Campos Bello;08:11;11;115;80;8;75;65;3.4;8.18
Cascatinha;03:35;3;34;80;8;75;65;3.4;3.58
Colinas do Alto Oeste;11:53;15;191;80;8;75;65;2.4;11.88
Colinas Zona Sul;11:10;17;166;80;8;75;65;3.4;11.17
Gentil Estevam do Rego;06:02;6;62;80;8;75;65;3.4;6.03
Inácia Fernandes da Costa;07:53;8;111;80;8;75;65;2.4;7.88
Jardim América;08:50;17;124;80;9;70;60;3.4;8.83
Jardim São Paulo;05:01;6;58;80;9;75;65;3.4;5.02
Nova Pau dos Ferros;08:12;13;88;80;9;70;60;3.4;8.2
Oeste Village;07:18;8;105;80;8;75;65;2.4;7.3
Parque União;05:33;7;69;80;9;75;65;3.4;5.55
Pedra Azul;09:32;10;130;80;8;75;65;2.4;9.53
Planalto;06:38;7;75;80;8;75;65;3.4;6.63
Segundo Melo;09:45;18;130;80;9;70;60;3.4;9.75
Ubiranilton Deodato;05:24;4;55;80;8;75;65;2.4;5.4
