loteamento;bairro;registro;area_ha;quadras;lotes;licenca_ambiental
Aeroporto;Aeroporto;04/04/2003;4.81;6;96;False
Arizona;Chico Cajá;06/05/2013;10.0;12;284;False
Boa Vista;São Geraldo;03/09/2013;5.24;6;94;False
Campos Bello;Riacho do Meio;Não identificado;10.5;13;264;False
Campos do Alto;Nova Pau dos Ferros;24/10/2013;10.0;19;224;False
Cascatinha;Alto do Açude;Não identificado;2.66;4;33;False
Colinas do Alto Oeste;Riacho do Meio;28/10/2008;14.72;9;281;False
Colinas Zona Sul;Chico Cajá;24/06/2008;2.31;23;43;False
Colinas Zona Sul II;Chico Cajá;23/07/2008;3.52;6;102;False
Colinas Zona Sul III;Chico Cajá;02/09/2009;4.89;2;34;False
Colinas Zona Sul IV;Chico Cajá;14/07/2010;5.93;11;68;False
Gentil Estevam do Rego;Paraíso;10/10/2011;5.7;5;54;True
Inácia Fernandes da Costa;Zeca Pedro;15/07/2009;7.33;9;166;False
Jardim América;João Catingueira;01/09/2009;7.58;9;73;False
Jardim América II;João Catingueira;19/04/2011;8.95;10;109;False
Jardim São Paulo;Zeca Pedro;13/08/2015;4.9;11;;False
Nova Pau dos Ferros;Nova Pau dos Ferros;07/04/2011;12.6;19;232;True
Oeste Village;Nações Unidas;25/09/2015;7.0;17;278;False
Parque União;João Catingueira;16/10/2007;6.08;6;57;False
Pedra Azul;Chico Cajá;29/04/2009;8.96;9;179;False
Planalto;Chico Cajá;28/02/2011;6.76;3;42;False
Segundo Melo;Manoel Domingos;09/11/2011;16.93;36;619;False
Ubiranilton Deodato;Princesinha do Oeste;09/08/2012;3.69;6;110;True
